Nodo,Enfermero,InicioAtencion
10,5001,480
1004,5001,481.9
1006,5001,512.4
1007,5001,543.8
1071,5001,576.8
1057,5001,641.2
1038,5001,767.1
1053,5001,835.4
1005,5001,964.9
1,5001,1003.2
10,5002,480
1018,5002,487.2
1052,5002,523.0
1024,5002,651.7
1056,5002,687.3
1037,5002,821.2
1039,5002,890.2
1017,5002,968.0
1,5002,1007.0
20,5003,900
1051,5003,907.7
1055,5003,1038.5
1010,5003,1200
1014,5003,1238.5
1023,5003,1280.5
1016,5003,1331.0
2,5003,1370.4
20,5004,900
1054,5004,914.3
1068,5004,1038.5
1012,5004,1200
1020,5004,1248.8
1078,5004,1281.4
2,5004,1363.3
30,5005,480
1015,5005,488.4
1069,5005,528.8
1021,5005,682.6
1041,5005,731.0
1077,5005,900
3,5005,981.9
30,5006,480
1013,5006,492.1
1022,5006,534.1
1082,5006,577.1
1025,5006,663.6
3,5006,711.0
30,5007,480
1011,5007,494.4
1073,5007,540
3,5007,605.3
30,5008,480
1019,5008,500.7
1076,5008,540
3,5008,621.9
30,5009,480
1074,5009,540
3,5009,610.5
30,5010,480
1075,5010,540
3,5010,613.3
30,5011,480
1079,5011,540
3,5011,605.9
30,5012,480
1081,5012,540
3,5012,607.7
30,5013,480
1083,5013,540
3,5013,644.8
30,5014,480
3,5014,480
30,5015,480
3,5015,480
30,5016,480
3,5016,480
30,5017,480
3,5017,480
