Enfermero,Desde,Hasta,Valor
5001,10,1004,1
5001,1004,1006,1
5001,1006,1007,1
5001,1007,1071,1
5001,1071,1057,1
5001,1057,1038,1
5001,1038,1053,1
5001,1053,1005,1
5001,1005,1,1
5002,10,1018,1
5002,1018,1052,1
5002,1052,1024,1
5002,1024,1056,1
5002,1056,1037,1
5002,1037,1039,1
5002,1039,1017,1
5002,1017,1,1
5003,20,1051,1
5003,1051,1055,1
5003,1055,1010,1
5003,1010,1014,1
5003,1014,1023,1
5003,1023,1016,1
5003,1016,2,1
5004,20,1054,1
5004,1054,1068,1
5004,1068,1012,1
5004,1012,1020,1
5004,1020,1078,1
5004,1078,2,1
5005,30,1015,1
5005,1015,1069,1
5005,1069,1021,1
5005,1021,1041,1
5005,1041,1077,1
5005,1077,3,1
5006,30,1013,1
5006,1013,1022,1
5006,1022,1082,1
5006,1082,1025,1
5006,1025,3,1
5007,30,1011,1
5007,1011,1073,1
5007,1073,3,1
5008,30,1019,1
5008,1019,1076,1
5008,1076,3,1
5009,30,1074,1
5009,1074,3,1
5010,30,1075,1
5010,1075,3,1
5011,30,1079,1
5011,1079,3,1
5012,30,1081,1
5012,1081,3,1
5013,30,1083,1
5013,1083,3,1
5014,30,3,1
5015,30,3,1
5016,30,3,1
5017,30,3,1
