Nodo,Enfermero,InicioAtencion
10,5001,480.0
10,5002,480.0
20,5003,900.0
20,5004,900.0
30,5005,480.0
30,5006,480.0
30,5007,480.0
30,5008,480.0
30,5009,480.0
30,5010,480.0
30,5011,480.0
30,5012,480.0
30,5013,480.0
30,5014,480.0
30,5015,480.0
30,5016,480.0
30,5017,480.0
1,5001,1020.0
1,5002,1020.0
2,5003,1380.0
2,5004,1380.0
3,5005,1380.0
3,5006,1380.0
3,5007,1380.0
3,5008,1380.0
3,5009,1380.0
3,5010,1380.0
3,5011,1380.0
3,5012,1380.0
3,5013,1380.0
3,5014,1380.0
3,5015,1380.0
3,5016,1380.0
3,5017,1380.0
1004,5003,901.9
1005,5002,977.4
1006,5001,860.6
1007,5002,482.5
1010,5003,1294.6
1011,5001,592.3
1012,5004,1296.0
1013,5001,492.1
1014,5003,1333.1
1015,5002,522.6
1016,5004,1340.6
1017,5001,695.8
1018,5002,797.0
1019,5001,537.9
1020,5004,1247.8
1021,5003,1080.6
1022,5008,494.2
1023,5003,1252.2
1024,5002,685.1
1025,5006,720.0
1037,5002,906.9
1038,5002,722.8
1039,5002,838.3
1041,5004,920.7
1051,5001,733.9
1052,5002,556.4
1053,5001,895.1
1054,5004,1116.7
1055,5003,946.8
1056,5005,928.9
1057,5003,1125.4
1068,5004,992.1
1069,5007,1200.0
1071,5006,560.9
1073,5008,604.4
1074,5007,592.4
1075,5005,540.0
1076,5005,629.5
1077,5005,1080.0
1078,5005,1260.0
1079,5008,543.8
1081,5001,630.8
1082,5006,633.5
1083,5007,660.0
