Enfermero,Desde,Hasta,Valor
5001,10,1013,1
5001,1006,1053,1
5001,1011,1081,1
5001,1013,1019,1
5001,1017,1051,1
5001,1019,1011,1
5001,1051,1006,1
5001,1053,1,1
5001,1081,1017,1
5002,10,1007,1
5002,1005,1,1
5002,1007,1015,1
5002,1015,1052,1
5002,1018,1039,1
5002,1024,1038,1
5002,1037,1005,1
5002,1038,1018,1
5002,1039,1037,1
5002,1052,1024,1
5003,20,1004,1
5003,1004,1055,1
5003,1010,1014,1
5003,1014,2,1
5003,1021,1057,1
5003,1023,1010,1
5003,1055,1021,1
5003,1057,1023,1
5004,20,1041,1
5004,1012,1016,1
5004,1016,2,1
5004,1020,1012,1
5004,1041,1068,1
5004,1054,1020,1
5004,1068,1054,1
5005,30,1075,1
5005,1056,1077,1
5005,1075,1076,1
5005,1076,1056,1
5005,1077,1078,1
5005,1078,3,1
5006,30,1071,1
5006,1025,3,1
5006,1071,1082,1
5006,1082,1025,1
5007,30,1074,1
5007,1069,3,1
5007,1074,1083,1
5007,1083,1069,1
5008,30,1022,1
5008,1022,1079,1
5008,1073,3,1
5008,1079,1073,1
5009,30,3,1
5010,30,3,1
5011,30,3,1
5012,30,3,1
5013,30,3,1
5014,30,3,1
5015,30,3,1
5016,30,3,1
5017,30,3,1
