Nodo,Enfermero,InicioAtencion
10,5001,480.0
10,5002,480.0
20,5003,900.0
20,5004,900.0
30,5005,480.0
30,5006,480.0
30,5007,480.0
30,5008,480.0
30,5009,480.0
30,5010,480.0
30,5011,480.0
30,5012,480.0
30,5013,480.0
30,5014,480.0
30,5015,480.0
30,5016,480.0
30,5017,480.0
1,5001,1020.0
1,5002,1020.0
2,5003,1380.0
2,5004,1380.0
3,5005,1380.0
3,5006,1380.0
3,5007,1380.0
3,5008,1380.0
3,5009,1380.0
3,5010,1380.0
3,5011,1380.0
3,5012,1380.0
3,5013,1380.0
3,5014,1380.0
3,5015,1380.0
3,5016,1380.0
3,5017,1380.0
1004,5003,956.1
1005,5002,679.8
1006,5001,619.1
1007,5002,482.5
1010,5003,1346.7
1011,5002,528.5
1012,5004,1296.0
1013,5001,494.2
1014,5003,1262.3
1015,5002,573.1
1016,5004,1340.6
1017,5003,916.5
1018,5002,982.1
1019,5013,500.7
1020,5003,1216.4
1021,5001,532.8
1022,5001,575.0
1023,5003,1304.3
1024,5001,659.4
1025,5013,720.0
1037,5002,841.8
1038,5001,826.8
1039,5002,910.8
1041,5003,1005.2
1051,5004,911.4
1052,5002,712.4
1053,5001,895.1
1054,5004,1042.8
1055,5003,1080.6
1056,5007,1200.0
1057,5001,700.9
1068,5004,1167.0
1069,5008,1200.0
1071,5013,551.2
1073,5007,611.5
1074,5007,540.0
1075,5013,631.7
1076,5009,660.0
1077,5007,900.0
1078,5009,1298.1
1079,5009,580.8
1081,5002,613.0
1082,5008,540.0
1083,5008,620.7
