Nodo,Enfermero,InicioAtencion
10,5001,480.0
10,5002,480.0
20,5003,900.0
20,5004,900.0
30,5005,480.0
30,5006,480.0
30,5007,480.0
30,5008,480.0
30,5009,480.0
30,5010,480.0
30,5011,480.0
30,5012,480.0
30,5013,480.0
30,5014,480.0
30,5015,480.0
30,5016,480.0
30,5017,480.0
1,5001,1020.0
1,5002,1020.0
2,5003,1380.0
2,5004,1380.0
3,5005,1380.0
3,5006,1380.0
3,5007,1380.0
3,5008,1380.0
3,5009,1380.0
3,5010,1380.0
3,5011,1380.0
3,5012,1380.0
3,5013,1380.0
3,5014,1380.0
3,5015,1380.0
3,5016,1380.0
3,5017,1380.0
1004,5003,976.6
1005,5002,685.2
1006,5001,974.6
1007,5002,487.9
1010,5004,1246.4
1011,5002,533.9
1012,5004,1292.7
1013,5001,492.1
1014,5003,1284.3
1015,5002,578.5
1016,5004,1337.3
1017,5001,934.7
1018,5004,907.2
1019,5015,500.7
1020,5003,1330.1
1021,5001,530.7
1022,5007,496.7
1023,5004,1204.0
1024,5007,720.0
1025,5001,698.4
1037,5002,725.0
1038,5003,908.2
1039,5002,794.0
1041,5001,739.3
1051,5003,1156.5
1052,5016,1200.0
1053,5004,947.1
1054,5001,808.6
1055,5001,573.7
1056,5003,1019.9
1057,5004,1077.2
1068,5002,875.1
1069,5016,739.6
1071,5016,660.0
1073,5008,660.0
1074,5016,540.0
1075,5007,551.5
1076,5015,660.0
1077,5007,900.0
1078,5008,1298.1
1079,5008,540.0
1081,5002,618.4
1082,5015,560.7
1083,5007,615.0
