Nodo,Enfermero,InicioAtencion
10,5001,480
1053,5001,484.6
1024,5001,611.0
1056,5001,646.6
1052,5001,775.0
1018,5001,900.6
1017,5001,938.3
1,5001,977.3
10,5002,480
1051,5002,487.7
1057,5002,617.3
1055,5002,750.2
1054,5002,883.7
1,5002,1017.7
10,5003,480
1015,5003,488.4
1011,5003,532.4
1081,5003,570.9
1044,5003,720
1045,5003,809.5
1077,5003,900
1,5003,981.9
10,5004,480
1013,5004,492.1
1073,5004,540
1,5004,605.3
10,5005,480
1074,5005,540
1,5005,610.5
20,5006,900
1085,5006,1020
1088,5006,1119.0
1016,5006,1216.0
1048,5006,1252.5
1012,5006,1328.7
2,5006,1373.3
20,5007,900
1086,5007,1020
1087,5007,1128.1
1046,5007,1231.2
1010,5007,1308.7
1008,5007,1340.4
2,5007,1372.6
20,5008,900
1047,5008,1140
1050,5008,1209.4
1014,5008,1281.4
1023,5008,1323.4
2,5008,1367.5
20,5009,900
1049,5009,1140
1072,5009,1214.2
1078,5009,1297.5
2,5009,1379.4
20,5010,900
2,5010,900
30,5011,480
1075,5011,540
3,5011,613.3
30,5012,480
1076,5012,540
3,5012,621.9
30,5013,480
1079,5013,540
3,5013,605.9
30,5014,480
1082,5014,540
3,5014,614.2
30,5015,480
1083,5015,540
3,5015,644.8
30,5016,480
1084,5016,540
3,5016,640.7
30,5017,480
3,5017,480
30,5018,480
3,5018,480
30,5019,480
3,5019,480
30,5020,480
3,5020,480
30,5021,480
3,5021,480
30,5022,480
3,5022,480
30,5023,480
3,5023,480
