Nodo,Enfermero,InicioAtencion
10,5001,480.0
10,5002,480.0
10,5003,480.0
10,5004,480.0
10,5005,480.0
20,5006,900.0
20,5007,900.0
20,5008,900.0
20,5009,900.0
20,5010,900.0
30,5011,480.0
30,5012,480.0
30,5013,480.0
30,5014,480.0
30,5015,480.0
30,5016,480.0
30,5017,480.0
30,5018,480.0
30,5019,480.0
30,5020,480.0
30,5021,480.0
30,5022,480.0
30,5023,480.0
1,5001,1020.0
1,5002,1020.0
1,5003,1020.0
1,5004,1020.0
1,5005,1020.0
2,5006,1380.0
2,5007,1380.0
2,5008,1380.0
2,5009,1380.0
2,5010,1380.0
3,5011,1380.0
3,5012,1380.0
3,5013,1380.0
3,5014,1380.0
3,5015,1380.0
3,5016,1380.0
3,5017,1380.0
3,5018,1380.0
3,5019,1380.0
3,5020,1380.0
3,5021,1380.0
3,5022,1380.0
3,5023,1380.0
1008,5007,1261.9
1010,5007,1230.2
1011,5003,494.4
1012,5006,1335.4
1013,5002,527.6
1014,5010,1336.8
1015,5003,539.0
1016,5006,1222.7
1017,5002,718.4
1018,5006,962.9
1023,5010,1225.8
1024,5001,720.0
1044,5009,959.6
1045,5003,945.3
1046,5009,1230.9
1047,5007,1306.1
1048,5006,1259.2
1049,5009,1304.9
1050,5008,1222.0
1051,5008,1089.0
1052,5006,998.7
1053,5002,760.5
1054,5008,958.0
1055,5004,521.6
1056,5002,888.3
1057,5005,892.0
1072,5010,1267.2
1073,5002,573.0
1074,5002,644.2
1075,5003,596.5
1076,5004,660.0
1077,5004,938.1
1078,5008,1298.1
1079,5005,660.0
1081,5001,569.8
1082,5001,650.2
1083,5003,660.0
1084,5005,561.9
1085,5007,1130.9
1086,5010,1126.0
1087,5009,1080.4
1088,5006,1125.7
