Nodo,Enfermero,InicioAtencion
10,5001,480.0
10,5002,480.0
10,5003,480.0
10,5004,480.0
10,5005,480.0
20,5006,900.0
20,5007,900.0
20,5008,900.0
20,5009,900.0
20,5010,900.0
30,5011,480.0
30,5012,480.0
30,5013,480.0
30,5014,480.0
30,5015,480.0
30,5016,480.0
30,5017,480.0
30,5018,480.0
30,5019,480.0
30,5020,480.0
30,5021,480.0
30,5022,480.0
30,5023,480.0
1,5001,1020.0
1,5002,1020.0
1,5003,1020.0
1,5004,1020.0
1,5005,1020.0
2,5006,1380.0
2,5007,1380.0
2,5008,1380.0
2,5009,1380.0
2,5010,1380.0
3,5011,1380.0
3,5012,1380.0
3,5013,1380.0
3,5014,1380.0
3,5015,1380.0
3,5016,1380.0
3,5017,1380.0
3,5018,1380.0
3,5019,1380.0
3,5020,1380.0
3,5021,1380.0
3,5022,1380.0
3,5023,1380.0
1008,5006,1261.9
1010,5006,1200.0
1011,5003,494.4
1012,5009,1335.4
1013,5004,492.1
1014,5010,1336.8
1015,5003,539.0
1016,5009,1200.0
1017,5004,685.4
1018,5009,907.2
1023,5010,1200.0
1024,5005,720.0
1044,5008,965.4
1045,5003,747.2
1046,5008,1230.9
1047,5006,1306.1
1048,5009,1236.5
1049,5008,1304.9
1050,5007,1222.0
1051,5007,1089.0
1052,5009,943.0
1053,5004,727.5
1054,5007,958.0
1055,5001,521.6
1056,5004,855.3
1057,5002,892.0
1072,5010,1241.4
1073,5004,540.0
1074,5004,611.2
1075,5003,573.7
1076,5001,660.0
1077,5001,938.1
1078,5007,1298.1
1079,5002,638.1
1081,5005,569.8
1082,5005,650.2
1083,5003,637.2
1084,5002,540.0
1085,5006,1020.0
1086,5010,1020.0
1087,5008,1036.9
1088,5009,1070.0
