Enfermero,Desde,Hasta,Valor
5001,10,1055,1
5001,1055,1076,1
5001,1076,1077,1
5001,1077,1,1
5002,10,1084,1
5002,1057,1,1
5002,1079,1057,1
5002,1084,1079,1
5003,10,1011,1
5003,1011,1015,1
5003,1015,1075,1
5003,1045,1,1
5003,1075,1083,1
5003,1083,1045,1
5004,10,1013,1
5004,1013,1073,1
5004,1017,1053,1
5004,1053,1056,1
5004,1056,1,1
5004,1073,1074,1
5004,1074,1017,1
5005,10,1081,1
5005,1024,1,1
5005,1081,1082,1
5005,1082,1024,1
5006,20,1085,1
5006,1008,1047,1
5006,1010,1008,1
5006,1047,2,1
5006,1085,1010,1
5007,20,1054,1
5007,1050,1078,1
5007,1051,1050,1
5007,1054,1051,1
5007,1078,2,1
5008,20,1044,1
5008,1044,1087,1
5008,1046,1049,1
5008,1049,2,1
5008,1087,1046,1
5009,20,1018,1
5009,1012,2,1
5009,1016,1048,1
5009,1018,1052,1
5009,1048,1012,1
5009,1052,1088,1
5009,1088,1016,1
5010,20,1086,1
5010,1014,2,1
5010,1023,1072,1
5010,1072,1014,1
5010,1086,1023,1
5011,30,3,1
5012,30,3,1
5013,30,3,1
5014,30,3,1
5015,30,3,1
5016,30,3,1
5017,30,3,1
5018,30,3,1
5019,30,3,1
5020,30,3,1
5021,30,3,1
5022,30,3,1
5023,30,3,1
