Enfermero,Nodo,Valor
5001,10,1
5001,1,1
5001,1055,1
5001,1076,1
5001,1077,1
5002,10,1
5002,1,1
5002,1057,1
5002,1079,1
5002,1084,1
5003,10,1
5003,1,1
5003,1011,1
5003,1015,1
5003,1045,1
5003,1075,1
5003,1083,1
5004,10,1
5004,1,1
5004,1013,1
5004,1017,1
5004,1053,1
5004,1056,1
5004,1073,1
5004,1074,1
5005,10,1
5005,1,1
5005,1024,1
5005,1081,1
5005,1082,1
5006,20,1
5006,2,1
5006,1008,1
5006,1010,1
5006,1047,1
5006,1085,1
5007,20,1
5007,2,1
5007,1050,1
5007,1051,1
5007,1054,1
5007,1078,1
5008,20,1
5008,2,1
5008,1044,1
5008,1046,1
5008,1049,1
5008,1087,1
5009,20,1
5009,2,1
5009,1012,1
5009,1016,1
5009,1018,1
5009,1048,1
5009,1052,1
5009,1088,1
5010,20,1
5010,2,1
5010,1014,1
5010,1023,1
5010,1072,1
5010,1086,1
5011,30,1
5011,3,1
5012,30,1
5012,3,1
5013,30,1
5013,3,1
5014,30,1
5014,3,1
5015,30,1
5015,3,1
5016,30,1
5016,3,1
5017,30,1
5017,3,1
5018,30,1
5018,3,1
5019,30,1
5019,3,1
5020,30,1
5020,3,1
5021,30,1
5021,3,1
5022,30,1
5022,3,1
5023,30,1
5023,3,1
