Nodo,Enfermero,InicioAtencion
10,5001,480.0
10,5002,480.0
10,5003,480.0
10,5004,480.0
10,5005,480.0
20,5006,900.0
20,5007,900.0
20,5008,900.0
20,5009,900.0
20,5010,900.0
20,5011,900.0
30,5012,480.0
30,5013,480.0
30,5014,480.0
30,5015,480.0
30,5016,480.0
30,5017,480.0
30,5018,480.0
30,5019,480.0
30,5020,480.0
30,5021,480.0
30,5022,480.0
30,5023,480.0
30,5024,480.0
1,5001,1020.0
1,5002,1020.0
1,5003,1020.0
1,5004,1020.0
1,5005,1020.0
2,5006,1380.0
2,5007,1380.0
2,5008,1380.0
2,5009,1380.0
2,5010,1380.0
2,5011,1380.0
3,5012,1380.0
3,5013,1380.0
3,5014,1380.0
3,5015,1380.0
3,5016,1380.0
3,5017,1380.0
3,5018,1380.0
3,5019,1380.0
3,5020,1380.0
3,5021,1380.0
3,5022,1380.0
3,5023,1380.0
3,5024,1380.0
1001,5005,798.6
1002,5008,907.1
1003,5001,542.9
1004,5003,934.7
1005,5004,879.4
1006,5005,876.7
1010,5010,1346.7
1011,5004,494.4
1012,5009,1335.4
1013,5002,492.1
1014,5010,1306.6
1015,5004,539.0
1016,5009,1291.4
1017,5008,952.5
1018,5002,878.2
1019,5001,500.7
1020,5011,1330.1
1021,5011,1035.3
1022,5012,600.0
1023,5007,1275.9
1024,5002,670.3
1025,5003,720.0
1026,5001,700.8
1027,5002,720.0
1028,5001,618.2
1029,5003,667.5
1030,5004,800.5
1039,5004,920.0
1042,5009,907.1
1051,5010,1178.8
1052,5009,1167.2
1053,5008,1003.4
1054,5010,941.2
1055,5011,1078.3
1058,5004,617.8
1059,5003,487.8
1061,5005,492.7
1062,5013,660.0
1063,5013,488.6
1065,5002,537.6
1066,5005,622.0
1068,5006,917.7
1069,5009,1034.2
1091,5011,1212.9
1092,5002,768.9
1094,5001,817.1
1097,5006,1146.6
1100,5003,798.9
2001,5001,734.8
2001,5002,840.0
2002,5013,619.8
2004,5003,840.0
2008,5004,840.0
2008,5005,761.1
2009,5001,581.5
2009,5003,618.1
2009,5004,748.1
2016,5001,654.9
2016,5005,833.7
2022,5002,977.0
2022,5009,991.2
2024,5001,977.6
2024,5003,977.6
2024,5005,919.1
2024,5008,1140.0
3007,5001,772.6
3008,5006,1056.6
