Enfermero,Nodo,Valor
5001,10,1
5001,1,1
5001,1003,1
5001,1019,1
5001,1026,1
5001,1028,1
5001,1094,1
5001,2001,1
5001,2009,1
5001,2016,1
5001,2024,1
5001,3007,1
5002,10,1
5002,1,1
5002,1013,1
5002,1018,1
5002,1024,1
5002,1027,1
5002,1065,1
5002,1092,1
5002,2001,1
5002,2022,1
5003,10,1
5003,1,1
5003,1004,1
5003,1025,1
5003,1029,1
5003,1059,1
5003,1100,1
5003,2004,1
5003,2009,1
5003,2024,1
5004,10,1
5004,1,1
5004,1005,1
5004,1011,1
5004,1015,1
5004,1030,1
5004,1039,1
5004,1058,1
5004,2008,1
5004,2009,1
5005,10,1
5005,1,1
5005,1001,1
5005,1006,1
5005,1061,1
5005,1066,1
5005,2008,1
5005,2016,1
5005,2024,1
5006,20,1
5006,2,1
5006,1068,1
5006,1097,1
5006,3008,1
5007,20,1
5007,2,1
5007,1023,1
5008,20,1
5008,2,1
5008,1002,1
5008,1017,1
5008,1053,1
5008,2024,1
5009,20,1
5009,2,1
5009,1012,1
5009,1016,1
5009,1042,1
5009,1052,1
5009,1069,1
5009,2022,1
5010,20,1
5010,2,1
5010,1010,1
5010,1014,1
5010,1051,1
5010,1054,1
5011,20,1
5011,2,1
5011,1020,1
5011,1021,1
5011,1055,1
5011,1091,1
5012,30,1
5012,3,1
5012,1022,1
5013,30,1
5013,3,1
5013,1062,1
5013,1063,1
5013,2002,1
5014,30,1
5014,3,1
5015,30,1
5015,3,1
5016,30,1
5016,3,1
5017,30,1
5017,3,1
5018,30,1
5018,3,1
5019,30,1
5019,3,1
5020,30,1
5020,3,1
5021,30,1
5021,3,1
5022,30,1
5022,3,1
5023,30,1
5023,3,1
5024,30,1
5024,3,1
