Nodo,Enfermero,InicioAtencion
10,5001,480.0
10,5002,480.0
10,5003,480.0
10,5004,480.0
10,5005,480.0
20,5006,900.0
20,5007,900.0
20,5008,900.0
20,5009,900.0
20,5010,900.0
20,5011,900.0
30,5012,480.0
30,5013,480.0
30,5014,480.0
30,5015,480.0
30,5016,480.0
30,5017,480.0
30,5018,480.0
30,5019,480.0
30,5020,480.0
30,5021,480.0
30,5022,480.0
30,5023,480.0
30,5024,480.0
1,5001,1020.0
1,5002,1020.0
1,5003,1020.0
1,5004,1020.0
1,5005,1020.0
2,5006,1380.0
2,5007,1380.0
2,5008,1380.0
2,5009,1380.0
2,5010,1380.0
2,5011,1380.0
3,5012,1380.0
3,5013,1380.0
3,5014,1380.0
3,5015,1380.0
3,5016,1380.0
3,5017,1380.0
3,5018,1380.0
3,5019,1380.0
3,5020,1380.0
3,5021,1380.0
3,5022,1380.0
3,5023,1380.0
3,5024,1380.0
1001,5009,950.9
1002,5004,817.8
1003,5003,801.4
1004,5001,792.1
1005,5001,878.8
1006,5003,935.2
1010,5007,1294.2
1011,5004,494.4
1012,5007,1247.9
1013,5003,493.5
1014,5006,1336.8
1015,5004,539.0
1016,5007,1203.9
1017,5009,908.9
1018,5007,958.5
1019,5005,500.7
1020,5008,1330.1
1021,5010,918.3
1022,5004,589.2
1023,5007,1335.9
1024,5003,714.1
1025,5001,658.9
1026,5005,674.8
1027,5003,677.3
1028,5001,612.6
1029,5001,711.0
1030,5002,806.1
1039,5007,999.8
1042,5008,918.9
1051,5008,1024.7
1052,5009,984.3
1053,5006,1200.0
1054,5011,1009.8
1055,5010,961.3
1058,5001,488.3
1059,5003,536.4
1061,5013,492.7
1062,5002,489.9
1063,5004,641.5
1065,5002,621.6
1066,5005,547.0
1068,5006,1059.2
1069,5007,1073.5
1091,5008,1212.9
1092,5002,901.8
1094,5005,817.1
1097,5011,1230.0
1100,5010,1093.6
2001,5005,773.0
2009,5001,836.4
2009,5002,753.7
2009,5003,840.0
2009,5004,768.0
2012,5013,797.3
2014,5001,753.5
2018,5003,754.8
2018,5005,708.9
2020,5002,856.7
2021,5010,1140.0
2022,5002,977.0
2022,5009,1112.1
2024,5001,920.8
2024,5003,977.6
2024,5004,866.9
2024,5005,977.6
2024,5008,985.5
3007,5011,1140.0
3009,5005,740.7
