Enfermero,Paciente,UE,Valor
5001,1001,2001,-0.0
5001,1001,2002,-0.0
5001,1001,2003,-0.0
5001,1001,2004,-0.0
5001,1001,2005,-0.0
5001,1001,2006,-0.0
5001,1001,2007,-0.0
5001,1001,2008,-0.0
5001,1001,2009,-0.0
5001,1001,2010,-0.0
5001,1001,2011,-0.0
5001,1001,2012,-0.0
5001,1001,2013,-0.0
5001,1001,2014,-0.0
5001,1001,2015,-0.0
5001,1001,2016,-0.0
5001,1001,2017,-0.0
5001,1001,2018,-0.0
5001,1001,2019,-0.0
5001,1001,2020,-0.0
5001,1001,2021,-0.0
5001,1001,2022,-0.0
5001,1001,2023,-0.0
5001,1001,2024,-0.0
5001,1002,2001,-0.0
5001,1002,2002,-0.0
5001,1002,2003,-0.0
5001,1002,2004,-0.0
5001,1002,2005,-0.0
5001,1002,2006,-0.0
5001,1002,2007,-0.0
5001,1002,2008,-0.0
5001,1002,2009,-0.0
5001,1002,2010,-0.0
5001,1002,2011,-0.0
5001,1002,2012,-0.0
5001,1002,2013,-0.0
5001,1002,2014,-0.0
5001,1002,2015,-0.0
5001,1002,2016,-0.0
5001,1002,2017,-0.0
5001,1002,2018,-0.0
5001,1002,2019,-0.0
5001,1002,2020,-0.0
5001,1002,2021,-0.0
5001,1002,2022,-0.0
5001,1002,2023,-0.0
5001,1002,2024,-0.0
5001,1003,2001,-0.0
5001,1003,2002,-0.0
5001,1003,2003,-0.0
5001,1003,2004,-0.0
5001,1003,2005,-0.0
5001,1003,2006,-0.0
5001,1003,2007,-0.0
5001,1003,2008,-0.0
5001,1003,2009,-0.0
5001,1003,2010,-0.0
5001,1003,2011,-0.0
5001,1003,2012,-0.0
5001,1003,2013,-0.0
5001,1003,2014,-0.0
5001,1003,2015,-0.0
5001,1003,2016,-0.0
5001,1003,2017,-0.0
5001,1003,2018,-0.0
5001,1003,2019,-0.0
5001,1003,2020,-0.0
5001,1003,2021,-0.0
5001,1003,2022,-0.0
5001,1003,2023,-0.0
5001,1003,2024,-0.0
5001,1026,2001,-0.0
5001,1026,2002,-0.0
5001,1026,2003,-0.0
5001,1026,2004,-0.0
5001,1026,2005,-0.0
