Enfermero,UM,Paciente,Valor
5001,3001,1094,-0.0
5001,3001,1097,-0.0
5001,3002,1094,-0.0
5001,3002,1097,0.0
5001,3003,1094,-0.0
5001,3003,1097,-0.0
5001,3004,1094,-0.0
5001,3004,1097,-0.0
5001,3005,1094,-0.0
5001,3005,1097,0.0
5001,3006,1094,-0.0
5001,3006,1097,-0.0
5001,3007,1094,-0.0
5001,3007,1097,-0.0
5001,3008,1094,-0.0
5001,3008,1097,-0.0
5001,3009,1094,-0.0
5001,3009,1097,-0.0
5001,3010,1094,-0.0
5001,3010,1097,-0.0
5001,3011,1094,-0.0
5001,3011,1097,-0.0
5001,3012,1094,-0.0
5001,3012,1097,-0.0
5002,3001,1094,-0.0
5002,3001,1097,-0.0
5002,3002,1094,-0.0
5002,3002,1097,-0.0
5002,3003,1094,-0.0
5002,3003,1097,-0.0
5002,3004,1094,-0.0
5002,3004,1097,-0.0
5002,3005,1094,-0.0
5002,3005,1097,-0.0
5002,3006,1094,-0.0
5002,3006,1097,-0.0
5002,3007,1094,-0.0
5002,3007,1097,-0.0
5002,3008,1094,-0.0
5002,3008,1097,-0.0
5002,3009,1094,-0.0
5002,3009,1097,-0.0
5002,3010,1094,-0.0
5002,3010,1097,-0.0
5002,3011,1094,-0.0
5002,3011,1097,-0.0
5002,3012,1094,-0.0
5002,3012,1097,-0.0
5003,3001,1094,-0.0
5003,3001,1097,0.0
5003,3002,1094,-0.0
5003,3002,1097,0.0
5003,3003,1094,-0.0
5003,3003,1097,0.0
5003,3004,1094,-0.0
5003,3004,1097,0.0
5003,3005,1094,-0.0
5003,3005,1097,0.0
5003,3006,1094,-0.0
5003,3006,1097,0.0
5003,3007,1094,-0.0
5003,3007,1097,0.0
5003,3008,1094,-0.0
5003,3008,1097,0.0
5003,3009,1094,-0.0
5003,3009,1097,0.0
5003,3010,1094,-0.0
5003,3010,1097,0.0
5003,3011,1094,-0.0
5003,3011,1097,0.0
5003,3012,1094,-0.0
5003,3012,1097,0.0
5004,3001,1094,-0.0
5004,3001,1097,-0.0
5004,3002,1094,-0.0
5004,3002,1097,-0.0
5004,3003,1094,-0.0
5004,3003,1097,-0.0
5004,3004,1094,-0.0
5004,3004,1097,-0.0
5004,3005,1094,-0.0
5004,3005,1097,-0.0
5004,3006,1094,-0.0
5004,3006,1097,-0.0
5004,3007,1094,-0.0
5004,3007,1097,-0.0
5004,3008,1094,-0.0
5004,3008,1097,-0.0
5004,3009,1094,-0.0
5004,3009,1097,-0.0
5004,3010,1094,-0.0
5004,3010,1097,-0.0
5004,3011,1094,-0.0
5004,3011,1097,-0.0
