Enfermero,Desde,Hasta,Valor
5001,10,1058,1
5001,1004,2009,1
5001,1005,2024,1
5001,1025,1029,1
5001,1028,1025,1
5001,1029,2014,1
5001,1058,1028,1
5001,2009,1005,1
5001,2014,1004,1
5001,2024,1,1
5002,10,1062,1
5002,1030,2020,1
5002,1062,1065,1
5002,1065,2009,1
5002,1092,2022,1
5002,2009,1030,1
5002,2020,1092,1
5002,2022,1,1
5003,10,1013,1
5003,1003,2009,1
5003,1006,2024,1
5003,1013,1059,1
5003,1024,2018,1
5003,1027,1024,1
5003,1059,1027,1
5003,2009,1006,1
5003,2018,1003,1
5003,2024,1,1
5004,10,1011,1
5004,1002,2024,1
5004,1011,1015,1
5004,1015,1022,1
5004,1022,1063,1
5004,1063,2009,1
5004,2009,1002,1
5004,2024,1,1
5005,10,1019,1
5005,1019,1066,1
5005,1026,2018,1
5005,1066,1026,1
5005,1094,2024,1
5005,2001,1094,1
5005,2018,3009,1
5005,2024,1,1
5005,3009,2001,1
5006,20,1068,1
5006,1014,2,1
5006,1053,1014,1
5006,1068,1053,1
5007,20,1018,1
5007,1010,1023,1
5007,1012,1010,1
5007,1016,1012,1
5007,1018,1039,1
5007,1023,2,1
5007,1039,1069,1
5007,1069,1016,1
5008,20,1042,1
5008,1020,2,1
5008,1042,2024,1
5008,1051,1091,1
5008,1091,1020,1
5008,2024,1051,1
5009,20,1017,1
5009,1001,1052,1
5009,1017,1001,1
5009,1052,2022,1
5009,2022,2,1
5010,20,1021,1
5010,1021,1055,1
5010,1055,1100,1
5010,1100,2021,1
5010,2021,2,1
5011,20,1054,1
5011,1054,3007,1
5011,1097,2,1
5011,3007,1097,1
5012,30,3,1
5013,30,1061,1
5013,1061,2012,1
5013,2012,3,1
5014,30,3,1
5015,30,3,1
5016,30,3,1
5017,30,3,1
5018,30,3,1
5019,30,3,1
5020,30,3,1
5021,30,3,1
5022,30,3,1
5023,30,3,1
5024,30,3,1
