Enfermero,Desde,Hasta,Valor
5001,10,1004,1
5001,1004,1006,1
5001,1006,1053,1
5001,1053,1029,1
5001,1029,1002,1
5001,1002,1092,1
5001,1092,1052,1
5001,1052,1005,1
5001,1005,2020,1
5001,2020,1,1
5002,10,1065,1
5002,1065,1018,1
5002,1018,1028,1
5002,1028,1017,1
5002,1017,1042,1
5002,1042,2014,1
5002,2014,1054,1
5002,1054,1003,1
5002,1003,2024,1
5002,2024,1,1
5003,10,1059,1
5003,1059,1051,1
5003,1051,1055,1
5003,1055,1100,1
5003,1100,1021,1
5003,1021,2021,1
5003,2021,1,1
5004,10,1001,1
5004,1001,1015,1
5004,1015,1069,1
5004,1069,1030,1
5004,1030,1039,1
5004,1039,1068,1
5004,1068,2024,1
5004,2024,1,1
5005,10,1066,1
5005,1066,1026,1
5005,1026,1024,1
5005,1024,3005,1
5005,3005,1094,1
5005,1094,2021,1
5005,2021,1,1
5006,20,3008,1
5006,3008,1097,1
5006,1097,1091,1
5006,1091,1010,1
5006,1010,1014,1
5006,1014,1023,1
5006,1023,1016,1
5006,1016,2,1
5007,20,1012,1
5007,1012,1020,1
5007,1020,2,1
5008,20,2,1
5009,20,2,1
5010,20,2,1
5011,20,2,1
5012,30,1058,1
5012,1058,1027,1
5012,1027,1025,1
5012,1025,2004,1
5012,2004,3,1
5013,30,1063,1
5013,1063,2014,1
5013,2014,3,1
5014,30,1062,1
5014,1062,2010,1
5014,2010,3,1
5015,30,1013,1
5015,1013,1061,1
5015,1061,2014,1
5015,2014,3,1
5016,30,1022,1
5016,1022,1019,1
5016,1019,3,1
5017,30,1011,1
5017,1011,3,1
5018,30,3,1
5019,30,3,1
5020,30,3,1
5021,30,3,1
5022,30,3,1
5023,30,3,1
5024,30,3,1
